,url
0,http://github.com/netdata/netdata
1,http://github.com/zeit/next.js
2,http://github.com/h5bp/Front-end-Developer-Interview-Questions
3,http://github.com/moment/moment
4,http://github.com/josephmisiti/awesome-machine-learning
5,http://github.com/resume/resume.github.com
6,http://github.com/ElemeFE/element
7,http://github.com/lodash/lodash
8,http://github.com/adam-p/markdown-here
9,http://github.com/tonsky/FiraCode
10,http://github.com/bitcoin/bitcoin
11,http://github.com/meteor/meteor
12,http://github.com/ReactiveX/RxJava
13,http://github.com/rust-lang/rust
14,http://github.com/psf/requests
15,http://github.com/ansible/ansible
16,http://github.com/kdn251/interviews
17,http://github.com/gatsbyjs/gatsby
18,http://github.com/opencv/opencv
19,http://github.com/mtdvio/every-programmer-should-know
