,0
0,http://github.com/freeCodeCamp/freeCodeCamp
1,http://github.com/996icu/996.ICU
2,http://github.com/vuejs/vue
3,http://github.com/facebook/react
4,http://github.com/tensorflow/tensorflow
5,http://github.com/twbs/bootstrap
6,http://github.com/EbookFoundation/free-programming-books
7,http://github.com/sindresorhus/awesome
8,http://github.com/getify/You-Dont-Know-JS
9,http://github.com/ohmyzsh/ohmyzsh
10,http://github.com/jwasham/coding-interview-university
11,http://github.com/github/gitignore
12,http://github.com/kamranahmedse/developer-roadmap
13,http://github.com/airbnb/javascript
14,http://github.com/d3/d3
15,http://github.com/microsoft/vscode
16,http://github.com/CyC2018/CS-Notes
17,http://github.com/torvalds/linux
18,http://github.com/facebook/react-native
19,http://github.com/flutter/flutter
20,http://github.com/electron/electron
21,http://github.com/donnemartin/system-design-primer
22,http://github.com/vinta/awesome-python
23,http://github.com/facebook/create-react-app
24,http://github.com/jackfrued/Python-100-Days
25,http://github.com/axios/axios
26,http://github.com/public-apis/public-apis
27,http://github.com/golang/go
28,http://github.com/jlevy/the-art-of-command-line
29,http://github.com/nodejs/node
30,http://github.com/Snailclimb/JavaGuide
31,http://github.com/TheAlgorithms/Python
32,http://github.com/daneden/animate.css
33,http://github.com/FortAwesome/Font-Awesome
34,http://github.com/kubernetes/kubernetes
35,http://github.com/justjavac/free-programming-books-zh_CN
36,http://github.com/tensorflow/models
37,http://github.com/angular/angular.js
38,http://github.com/ytdl-org/youtube-dl
39,http://github.com/trekhleb/javascript-algorithms
40,http://github.com/mrdoob/three.js
41,http://github.com/danistefanovic/build-your-own-x
42,http://github.com/puppeteer/puppeteer
43,http://github.com/laravel/laravel
44,http://github.com/microsoft/TypeScript
45,http://github.com/moby/moby
46,http://github.com/microsoft/terminal
47,http://github.com/angular/angular
48,http://github.com/ant-design/ant-design
49,http://github.com/iluwatar/java-design-patterns
50,http://github.com/30-seconds/30-seconds-of-code
51,http://github.com/mui-org/material-ui
52,http://github.com/jquery/jquery
53,http://github.com/ossu/computer-science
54,http://github.com/webpack/webpack
55,http://github.com/reduxjs/redux
56,http://github.com/nvbn/thefuck
57,http://github.com/vuejs/awesome-vue
58,http://github.com/atom/atom
59,http://github.com/avelino/awesome-go
60,http://github.com/apple/swift
61,http://github.com/hakimel/reveal.js
62,http://github.com/socketio/socket.io
63,http://github.com/pallets/flask
64,http://github.com/Semantic-Org/Semantic-UI
65,http://github.com/expressjs/express
66,http://github.com/chartjs/Chart.js
67,http://github.com/PanJiaChen/vue-element-admin
68,http://github.com/elastic/elasticsearch
69,http://github.com/keras-team/keras
70,http://github.com/django/django
71,http://github.com/MisterBooo/LeetCodeAnimation
72,http://github.com/shadowsocks/shadowsocks-windows
73,http://github.com/chrislgarry/Apollo-11
74,http://github.com/jakubroztocil/httpie
75,http://github.com/rails/rails
76,http://github.com/typicode/json-server
77,http://github.com/spring-projects/spring-boot
78,http://github.com/storybookjs/storybook
79,http://github.com/h5bp/html5-boilerplate
